run_label,sequence_length,feature_count,feature_columns,epochs,hidden_size,batch_size,learning_rate,train_size,train_inner_size,train_normal_count,validation_size,validation_anomaly_ratio,checked_threshold_percentiles,selected_threshold_percentile,threshold,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,reference_recall,reference_f1,reference_roc_auc,delta_recall,delta_f1,delta_roc_auc,train_sequence_count,test_sequence_count,sequence_count,sequence_anomaly_count,sequence_anomaly_ratio,epochs_requested,epochs_completed,best_epoch,early_stopping_patience,selection_metric,stopped_early,experiment_tag,artifact_suffix,early_stopping_enabled
2026-05-18T12:36:59.074320+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,16,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.833764910697937,0.7517294388931591,0.3905750798722044,0.514060446780552,0.7522650779213617,0.747557003257329,0.3929794520547945,0.5151515151515151,0.7582156595984237,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.302290259087985,0.3599882385521724,0.2451065598643264,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_01,,
2026-05-18T12:37:03.672631+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,16,64,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.0173841714859009,0.6989090909090909,0.3837859424920127,0.4954885279711266,0.7396807052450096,0.7133550488599348,0.375,0.4915824915824915,0.7398946214111466,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2955011217077933,0.341416319742747,0.2325221871879743,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_02,,
2026-05-18T12:37:07.501595+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.028598070144653,0.7081824764663287,0.3905750798722044,0.5034749034749034,0.739378279918371,0.7084690553745928,0.3724315068493151,0.4882154882154882,0.7402709525708389,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.302290259087985,0.3494026952465239,0.2322197618613357,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_03,,
2026-05-18T12:37:11.302244+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,10,16,128,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.1695270538330078,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2827215689921384,0.3343610199524827,0.225630304992326,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,10.0,10.0,10.0,5.0,f1,0.0,stage8_full_grid_04,,
2026-05-18T12:37:18.074795+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,16,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.5587090253829956,0.8695987654320988,0.4500798722044728,0.5931578947368421,0.8089890254876085,0.8517915309446255,0.4477739726027397,0.5869809203142536,0.8156320369675361,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3617950514202534,0.4390856865084626,0.3018305074305732,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,20.0,20.0,5.0,f1,0.0,stage8_full_grid_05,,
2026-05-18T12:37:24.003433+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,16,64,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.978770911693573,0.7128129602356407,0.3865814696485623,0.5012946659761781,0.7442957636068734,0.7263843648208469,0.3818493150684932,0.500561167227834,0.7453341973165697,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2982966488643429,0.3472224577477986,0.2371372455498381,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,16.0,11.0,5.0,f1,1.0,stage8_full_grid_06,,
2026-05-18T12:37:29.355462+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,16,128,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.7868276834487915,0.7631378522467631,0.4001597444089457,0.5250196489389573,0.7557111945695072,0.758957654723127,0.398972602739726,0.5230078563411896,0.7618861711859637,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3118749236247263,0.3709474407105777,0.2485526765124719,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,20.0,20.0,5.0,f1,0.0,stage8_full_grid_07,,
2026-05-18T12:37:33.934476+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,20,16,128,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,1.1695270538330078,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2827215689921384,0.3343610199524827,0.225630304992326,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,20.0,15.0,10.0,5.0,f1,1.0,stage8_full_grid_08,,
2026-05-18T12:37:42.936774+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,30,16,64,0.001,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.5106677412986755,0.873545384018619,0.4496805111821086,0.5937252834168204,0.8186911172303344,0.8566775244299675,0.4503424657534247,0.590347923681257,0.8249894445486958,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.3613956903978892,0.4396530751884409,0.3115325991732991,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,30.0,30.0,25.0,5.0,f1,0.0,stage8_full_grid_09,,
2026-05-18T12:37:48.855391+00:00,5,7,bytes_sent|bytes_received|hour|is_weekend|event_type_encoded|login_status_encoded|protocol_encoded,30,16,64,0.0005,20440,16352,11678,4088,0.2857142857142857,85|90|92|95,85,0.978770911693573,0.7128129602356407,0.3865814696485623,0.5012946659761781,0.7442957636068734,0.7263843648208469,0.3818493150684932,0.500561167227834,0.7453341973165697,0.0882848207842193,0.1540722082283795,0.5071585180570353,0.2982966488643429,0.3472224577477986,0.2371372455498381,20600.0,8600.0,29200.0,8346.0,0.2858219178082192,30.0,16.0,11.0,5.0,f1,1.0,stage8_full_grid_10,,
