sequence_length,hidden_size,epochs,batch_size,learning_rate,experiment_tag,epochs_completed,best_epoch,selected_threshold_percentile,sequence_anomaly_ratio,precision,recall,f1,roc_auc,validation_precision,validation_recall,validation_f1,validation_roc_auc,stopped_early
8,32,20,128,0.001,stage8_full_grid_67,20,19,85,0.4173076923076923,0.902457185405808,0.3385474860335195,0.4923826934795856,0.751161843575419,0.9068219633943428,0.3261520047875523,0.4797535211267605,0.7408169107512923,0
6,16,20,128,0.0005,stage8_full_grid_32,20,16,85,0.3322068965517241,0.7816265060240963,0.3591695501730104,0.492176386913229,0.7362203038550643,0.7799671592775042,0.352112676056338,0.4851889683350358,0.7266357663736599,0
6,16,30,128,0.0005,stage8_full_grid_36,21,16,85,0.3322068965517241,0.7816265060240963,0.3591695501730104,0.492176386913229,0.7362203038550643,0.7799671592775042,0.352112676056338,0.4851889683350358,0.7266357663736599,1
8,32,30,128,0.001,stage8_full_grid_71,26,21,85,0.4173076923076923,0.9088855421686748,0.3371508379888268,0.4918500407497962,0.7536369273743018,0.9101497504159732,0.3273488928785159,0.4815140845070422,0.7411879563199976,1
8,32,10,64,0.0005,stage8_full_grid_62,10,7,85,0.4173076923076923,0.8702127659574468,0.3427374301675978,0.4917835671342685,0.7364785474860335,0.8851913477537438,0.3183722321962896,0.4683098591549295,0.729430185332965,0
6,16,10,64,0.0005,stage8_full_grid_26,10,8,85,0.3322068965517241,0.7827403482210447,0.3577854671280276,0.4910947518404179,0.7367013977809409,0.7783251231527094,0.3513713862120089,0.484167517875383,0.727555884531597,0
6,16,20,64,0.0005,stage8_full_grid_30,13,8,85,0.3322068965517241,0.7827403482210447,0.3577854671280276,0.4910947518404179,0.7367013977809409,0.7783251231527094,0.3513713862120089,0.484167517875383,0.727555884531597,1
6,16,30,64,0.0005,stage8_full_grid_34,13,8,85,0.3322068965517241,0.7827403482210447,0.3577854671280276,0.4910947518404179,0.7367013977809409,0.7783251231527094,0.3513713862120089,0.484167517875383,0.727555884531597,1
8,16,10,64,0.0005,stage8_full_grid_50,10,10,85,0.4173076923076923,0.8711743772241993,0.3418994413407821,0.4910732196589769,0.738245530726257,0.8851913477537438,0.3183722321962896,0.4683098591549295,0.7297545455967934,0
8,16,20,128,0.0005,stage8_full_grid_56,20,19,85,0.4173076923076923,0.8745519713261649,0.3407821229050279,0.4904522613065327,0.7385188547486035,0.8868552412645591,0.3189706762417714,0.4691901408450704,0.7302735989727182,0
8,16,30,128,0.0005,stage8_full_grid_60,24,19,85,0.4173076923076923,0.8745519713261649,0.3407821229050279,0.4904522613065327,0.7385188547486035,0.8868552412645591,0.3189706762417714,0.4691901408450704,0.7302735989727182,1
6,16,10,128,0.001,stage8_full_grid_27,10,10,85,0.3322068965517241,0.7702001482579689,0.359515570934256,0.490209955178108,0.7331699908879215,0.7684729064039408,0.3469236471460341,0.4780388151174668,0.724204084121495,0
8,16,10,64,0.001,stage8_full_grid_49,10,6,85,0.4173076923076923,0.8692857142857143,0.3399441340782123,0.4887550200803213,0.736592905027933,0.8901830282861897,0.3201675643327349,0.4709507042253521,0.7272697074190901,0
8,16,20,64,0.001,stage8_full_grid_53,11,6,85,0.4173076923076923,0.8692857142857143,0.3399441340782123,0.4887550200803213,0.736592905027933,0.8901830282861897,0.3201675643327349,0.4709507042253521,0.7272697074190901,1
8,16,30,64,0.001,stage8_full_grid_57,11,6,85,0.4173076923076923,0.8692857142857143,0.3399441340782123,0.4887550200803213,0.736592905027933,0.8901830282861897,0.3201675643327349,0.4709507042253521,0.7272697074190901,1
5,16,10,128,0.0005,stage8_full_grid_04,10,10,85,0.2858219178082192,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,0
5,16,20,128,0.0005,stage8_full_grid_08,15,10,85,0.2858219178082192,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,1
5,16,30,128,0.0005,stage8_full_grid_12,15,10,85,0.2858219178082192,0.7146153846153847,0.3710063897763578,0.4884332281808622,0.7327888230493613,0.7052117263843648,0.3707191780821918,0.4859708193041526,0.7328529625633327,1
6,32,10,64,0.0005,stage8_full_grid_38,8,3,85,0.3322068965517241,0.7585703865791393,0.3598615916955017,0.4881483219901432,0.7307321823130386,0.7717569786535303,0.3484062268346923,0.4800817160367722,0.7227756451149382,1
6,32,20,64,0.0005,stage8_full_grid_42,8,3,85,0.3322068965517241,0.7585703865791393,0.3598615916955017,0.4881483219901432,0.7307321823130386,0.7717569786535303,0.3484062268346923,0.4800817160367722,0.7227756451149382,1
6,32,30,64,0.0005,stage8_full_grid_46,8,3,85,0.3322068965517241,0.7585703865791393,0.3598615916955017,0.4881483219901432,0.7307321823130386,0.7717569786535303,0.3484062268346923,0.4800817160367722,0.7227756451149382,1
6,16,10,128,0.0005,stage8_full_grid_28,10,10,85,0.3322068965517241,0.765358993338268,0.3577854671280276,0.4876208441405329,0.7294782590569893,0.7619047619047619,0.3439584877687175,0.473953013278856,0.7207103694992177,0
8,32,20,128,0.0005,stage8_full_grid_68,17,12,85,0.4173076923076923,0.873015873015873,0.3379888268156424,0.4873137333870318,0.7367797765363129,0.8851913477537438,0.3183722321962896,0.4683098591549295,0.7291753400011235,1
8,32,30,128,0.0005,stage8_full_grid_72,17,12,85,0.4173076923076923,0.873015873015873,0.3379888268156424,0.4873137333870318,0.7367797765363129,0.8851913477537438,0.3183722321962896,0.4683098591549295,0.7291753400011235,1
